,Common Name,,,Scientific name,,
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dumerili,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Banded Rudderfish             ,"""","scientific:""",Seriola zonata,"""",delete
"common:""",Gulf Menhaden                 ,"""","scientific:""",Brevoortia patronus,"""",delete
"common:""",Goosefish                     ,"""","scientific:""",Lophius americanus,"""",delete
"common:""",Banded Rudderfish             ,"""","scientific:""",Seriola zonata,"""",delete
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dummerili,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Atlantic Spadefish            ,"""","scientific:""",Chaetodipterus faber,"""",delete
"common:""",Goosefish                     ,"""","scientific:""",Lophius americanus,"""",delete
"common:""",Skipjack Tuna                 ,"""","scientific:""",Katsuwonus pelamis,"""",delete
"common:""",Ladyfish                     ,"""","scientific:""",Elops saurus,"""",delete
"common:""",Black Drum                    ,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Great Barracuda               ,"""","scientific:""",Sphyraena barracuda,"""",delete
"common:""",Gulf Kingfish                 ,"""","scientific:""",Menticirrhus littoralis,"""",delete
"common:""",Vermilion Snapper             ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Red Drum,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Gulf Toadfish                 ,"""","scientific:""",Opsanus beta,"""",delete
"common:""",Winter Flounder               ,"""","scientific:""",Pleuronectes americanus,"""",delete
"common:""",Gag Grouper                   ,"""","scientific:""",Mycteroperca microlepis,"""",delete
"common:""",Warsaw Grouper                ,"""","scientific:""",Epinephelus nigritus,"""",delete
"common:""",Warsaw Grouper                ,"""","scientific:""",Epinephelus nigritus,"""",delete
"common:""",Striped Mullet                ,"""","scientific:""",Mugil cephalus,"""",delete
"common:""",White Perch                   ,"""","scientific:""",Morone americana,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",Winter Flounder               ,"""","scientific:""",Plueronectes americanus,"""",delete
"common:""",Black Grouper                 ,"""","scientific:""",Mycteroperca bonaci,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Tripletail                    ,"""","scientific:""",Lobotes surinamensis,"""",delete
"common:""",Rock Seabass                  ,"""","scientific:""",Centropristis philadelphicus,"""",delete
"common:""",Tautog                        ,"""","scientific:""",Tautoga onitis,"""",delete
"common:""",Almaco Jack                   ,"""","scientific:""",Seriola rivoliana,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Vermilion Snapper             ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Tomtate                       ,"""","scientific:""",Haemulon aurolineatum,"""",delete
"common:""",Northern Puffer               ,"""","scientific:""",Sphoeroides maculatus,"""",delete
"common:""",Northern Puffer               ,"""","scientific:""",Sphoeroides maculatus,"""",delete
"common:""",Bluefish                      ,"""","scientific:""",Pomatomus saltatrix,"""",delete
"common:""",White Perch                   ,"""","scientific:""",Morone americana,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Atlantic Bonito               ,"""","scientific:""",Sarda sarda,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Yellowfin Tuna,"""","scientific:""",Thunnus albacares,"""",delete
"common:""",Pollock                       ,"""","scientific:""",Pollachius virens,"""",delete
"common:""",Atlantic Mackerel             ,"""","scientific:""",Scomber scombrus,"""",delete
"common:""",Pinfish                       ,"""","scientific:""",Lagodon rhomboides,"""",delete
"common:""",Windowpane                    ,"""","scientific:""",Scophthalmus aquosus,"""",delete
"common:""",Sandbar Shark                 ,"""","scientific:""",Carcharhinus plumbeus,"""",delete
"common:""",Atlantic Croaker              ,"""","scientific:""",Micropogonias undulatus,"""",delete
"common:""",Red Drum,"""","scientific:""",Scianops ocellatus,"""",delete
"common:""",Dolphin,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Atlantic Menhaden             ,"""","scientific:""",Brevoortia tyrannus,"""",delete
"common:""",Tripletail                    ,"""","scientific:""",Lobotes surinamensis,"""",delete
"common:""",Tripletail                    ,"""","scientific:""",Lobotes surinamensis,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Pinfish                       ,"""","scientific:""",Lagodon rhomboides,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus crysops,"""",delete
"common:""",Vermilion Snapper             ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Lane Snapper                  ,"""","scientific:""",Lutjanus synagris,"""",delete
"common:""",Lane Snapper                  ,"""","scientific:""",Lutjanus synagris,"""",delete
"common:""",Gafftopsail Catfish           ,"""","scientific:""",Bagre marinus,"""",delete
"common:""",Sea Catfish                   ,"""","scientific:""",Arius felis,"""",delete
"common:""",Atlantic Wolffish             ,"""","scientific:""",Anarhichas lupus,"""",delete
"common:""",King Mackerel                 ,"""","scientific:""",Scomberomorus cavalla,"""",delete
"common:""",Black Drum                    ,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Sea Catfish                   ,"""","scientific:""",Arius felis,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Pompano Dolphin               ,"""","scientific:""",Coryphaena equisetis,"""",delete
"common:""",Dolphinfish,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Silk Snapper                  ,"""","scientific:""",Lutjanus vivanus,"""",delete
"common:""",Tripletail                    ,"""","scientific:""",Lobotes surinamensis,"""",delete
"common:""",Snowy Grouper,"""","scientific:""",Epinephelus niveatus,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Bluefish                      ,"""","scientific:""",Pomatomus saltatrix,"""",delete
"common:""",Tautog                        ,"""","scientific:""",Tautoga onitis,"""",delete
"common:""",Mummichog                     ,"""","scientific:""",Fundulus heteroclitus,"""",delete
"common:""",Round Scad                    ,"""","scientific:""",Decapterus punctatus,"""",delete
"common:""",Atlantic Cod                  ,"""","scientific:""",Gadus morhua,"""",delete
"common:""",Atlantic Cod                  ,"""","scientific:""",Gadus morhua,"""",delete
"common:""",Spotted Hake                  ,"""","scientific:""",Urophycis regia,"""",delete
"common:""",Spotted Hake                  ,"""","scientific:""",Urophycis regia,"""",delete
"common:""",Tilefish                      ,"""","scientific:""",Lopholatilus chamaeleonticeps,"""",delete
"common:""",White Grunt                   ,"""","scientific:""",Haemulon plumieri,"""",delete
"common:""",Little Skate                  ,"""","scientific:""",Raja erinacea,"""",delete
"common:""",Dolphin,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",Atlantic Bumper               ,"""","scientific:""",Chloroscombrus chrysurus,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Atlantic Croaker              ,"""","scientific:""",Micropogon undulatus,"""",delete
"common:""",Black Drum                    ,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Spotfin Hogfish               ,"""","scientific:""",Bodianus pulchellus,"""",delete
"common:""",Cubera Snapper                ,"""","scientific:""",Lutjanus cyanopterus,"""",delete
"common:""",Great Barracuda               ,"""","scientific:""",Sphyraena barracuda,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus camphechanus,"""",delete
"common:""",Red Drum,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Sheepshead                    ,"""","scientific:""",Archosargus probatocephalus,"""",delete
"common:""",Summer Flounder               ,"""","scientific:""",Paralichthys dentatus,"""",delete
"common:""",Dolphin                       ,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Black Drum                    ,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",American Eel                  ,"""","scientific:""",Anguilla rostrata,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus chrysops,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Atlantic Menhaden             ,"""","scientific:""",Brevoortia tyrannus,"""",delete
"common:""",Dolphin,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Tomtate                       ,"""","scientific:""",Haemulon aurolineatum,"""",delete
"common:""",Southern Hake                 ,"""","scientific:""",Urophycis floridana,"""",delete
"common:""",Summer Flounder               ,"""","scientific:""",Paralichthys dentatus,"""",delete
"common:""",Atlantic Bonito               ,"""","scientific:""",Sarda sarda,"""",delete
"common:""",Blackfin Tuna                 ,"""","scientific:""",Thunnus atlanticus,"""",delete
"common:""",Blackfin Tuna                 ,"""","scientific:""",Thunnus atlanticus,"""",delete
"common:""",American Eel                  ,"""","scientific:""",Anguilla rostrata,"""",delete
"common:""",Silver Hake                   ,"""","scientific:""",Merluccius bilinearis,"""",delete
"common:""",Atlantic Tomcod               ,"""","scientific:""",Microgadus tomcod,"""",delete
"common:""",Palometa                      ,"""","scientific:""",Trachinotus goodei,"""",delete
"common:""",Whitebone Porgy               ,"""","scientific:""",Calamus leucosteus,"""",delete
"common:""",Freshwater Drum               ,"""","scientific:""",Aplodinotus grunniens,"""",delete
"common:""",Jewfish                       ,"""","scientific:""",Epinephelus itajara,"""",delete
"common:""",Warsaw Grouper                ,"""","scientific:""",Epinephelus nigritus,"""",delete
"common:""",Northern Puffer               ,"""","scientific:""",Sphoeroides maculatus,"""",delete
"common:""",Bigeye Scad                   ,"""","scientific:""",Selar crumenophthalmus,"""",delete
"common:""",Atlantic Tarpon-Young         ,"""","scientific:""",Atlanticus megalops,"""",delete
"common:""",Spot,"""","scientific:""",Leiostomus xanthurus,"""",delete
"common:""",Silk Snapper                  ,"""","scientific:""",Lutjanus vivanus,"""",delete
"common:""",Dolphin,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Gag Grouper                   ,"""","scientific:""",Mycteroperca microlepis,"""",delete
"common:""",Striped Mullet                ,"""","scientific:""",Mugil cephalus,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Permit                        ,"""","scientific:""",Trachinotus falcatus,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Largemouth Bass               ,"""","scientific:""",Micropterus salmoides,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",White Grunt                   ,"""","scientific:""",Haemulon plumieri,"""",delete
"common:""",Pigfish                       ,"""","scientific:""",Orthopristis chrysoptera,"""",delete
"common:""",Searobin,"""","scientific:""",Triglidae spp.,"""",delete
"common:""",Bearded Brotula              ,"""","scientific:""",Brotula barbata,"""",delete
"common:""",Gafftopsail Catfish           ,"""","scientific:""",Bagre marinus,"""",delete
"common:""",Sea Catfish                   ,"""","scientific:""",Arius felis,"""",delete
"common:""",Atlantic Croaker              ,"""","scientific:""",Micropogon undulatus,"""",delete
"common:""",Blue Runner                   ,"""","scientific:""",Caranx crysos,"""",delete
"common:""",Hogfish                       ,"""","scientific:""",Lachnolaimus maximus,"""",delete
"common:""",Pigfish                       ,"""","scientific:""",Orthopristis chrysoptera,"""",delete
"common:""",Blue Runner                   ,"""","scientific:""",Caranx crysos,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dummerili,"""",delete
"common:""",Yellow Perch                 ,"""","scientific:""",Perca flavescens,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Warsaw Grouper                ,"""","scientific:""",Epinephelus nigritus,"""",delete
"common:""",Goliath Grouper               ,"""","scientific:""",Epinephelus itajara,"""",delete
"common:""",Striped Mullet                ,"""","scientific:""",Mugil cephalus,"""",delete
"common:""",White Grunt                   ,"""","scientific:""",Haemulon plumieri,"""",delete
"common:""",King Mackerel                 ,"""","scientific:""",Scomberomorus cavalla,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",King Mackerel                 ,"""","scientific:""",Scomberomorus cavalla,"""",delete
"common:""",Speckled Hind                 ,"""","scientific:""",Epinephelus drummondhayi,"""",delete
"common:""",Spot                          ,"""","scientific:""",Leiostomus xanthurus,"""",delete
"common:""",Gray Triggerfish              ,"""","scientific:""",Balistes capriscus,"""",delete
"common:""",Gray Triggerfish              ,"""","scientific:""",Balistes capriscus,"""",delete
"common:""",Winter Flounder               ,"""","scientific:""",Pleuronectes americanus,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",Tiger Shark                   ,"""","scientific:""",Galeocerdo cuvieri,"""",delete
"common:""",Striped Bass                 ,"""","scientific:""",Morone saxatilis,"""",delete
"common:""",Cobia                         ,"""","scientific:""",Rachycentron canadum,"""",delete
"common:""",White Hake                    ,"""","scientific:""",Urophycis tenuis,"""",delete
"common:""",Red Hake                      ,"""","scientific:""",Urophycis chuss,"""",delete
"common:""",Red Hake                      ,"""","scientific:""",Urophycis chuss,"""",delete
"common:""",Palometa                      ,"""","scientific:""",Trachinotus goodei,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus chrysops,"""",delete
"common:""",Ladyfish                      ,"""","scientific:""",Elops saurus,"""",delete
"common:""",Gray Snapper                  ,"""","scientific:""",Lutjanus griseus,"""",delete
"common:""",Gray Snapper                  ,"""","scientific:""",Lutjanus griseus,"""",delete
"common:""",Sea Catfish                   ,"""","scientific:""",Arius felis,"""",delete
"common:""",Vermillion Snapper            ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Northern Kingfish             ,"""","scientific:""",Menticirrhus saxatilis,"""",delete
"common:""",Goosefish                     ,"""","scientific:""",Lophius americanus,"""",delete
"common:""",Atlantic Spadefish            ,"""","scientific:""",Chaetodipterus faber,"""",delete
"common:""",Atlantic Menhaden             ,"""","scientific:""",Brevoortia tyrannus,"""",delete
"common:""",Red Raven                     ,"""","scientific:""",Hemitripterus americanus,"""",delete
"common:""",Gizzard Shad                  ,"""","scientific:""",Dorosoma cepedianum,"""",delete
"common:""",Winter Flounder               ,"""","scientific:""",Pleuronectes americanus,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",Vermilion Snapper             ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Mutton Snapper                ,"""","scientific:""",Lutjanus analis,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus chrysops,"""",delete
"common:""",Sergeant Taurus               ,"""","scientific:""",Abudefduf taurus,"""",delete
"common:""",Spot                          ,"""","scientific:""",Leiostomus xanthurus,"""",delete
"common:""",Summer Flounder               ,"""","scientific:""",Paralichthys dentatus,"""",delete
"common:""",Atlantic Bonito               ,"""","scientific:""",Sarda sarda,"""",delete
"common:""",Golden Redfish                ,"""","scientific:""",Sebastes marinus,"""",delete
"common:""",Skipjack Tuna                 ,"""","scientific:""",Kaysuwonus pelamis,"""",delete
"common:""",Spot                          ,"""","scientific:""",Leiostomus xanthurus,"""",delete
"common:""",Oyster Toadfish               ,"""","scientific:""",Opsanus tau,"""",delete
"common:""",Red Snapper,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabus adspersus,"""",delete
"common:""",Bonefish                      ,"""","scientific:""",Albula vulpes,"""",delete
"common:""",Hogfish                       ,"""","scientific:""",Lachnolaimus maximus,"""",delete
"common:""",Tautog                        ,"""","scientific:""",Tautoga onitis,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Atlantic Croaker              ,"""","scientific:""",Micropogon undulatus,"""",delete
"common:""",Red Porgy                     ,"""","scientific:""",Pagrus pagrus,"""",delete
"common:""",Red Porgy                     ,"""","scientific:""",Pagrus pagrus,"""",delete
"common:""",Summer Flounder               ,"""","scientific:""",Paralichthys dentatus,"""",delete
"common:""",Menhaden,"""","scientific:""",Brevoortia spp.,"""",delete
"common:""",Florida Pompano               ,"""","scientific:""",Trachinotus carolinus,"""",delete
"common:""",Pompano Dolphin               ,"""","scientific:""",Coryphaena equisetis,"""",delete
"common:""",Black Drum,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Striped Mullet                ,"""","scientific:""",Mugil cephalus,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus chrysops,"""",delete
"common:""",Northern Puffer               ,"""","scientific:""",Sphoeroides maculatus,"""",delete
"common:""",Black Drum,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Red Drum,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Smooth Puffer                 ,"""","scientific:""",Lagocephalus laevigatus,"""",delete
"common:""",Lane Snapper                  ,"""","scientific:""",Lutjanus synagris,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Scianops ocellatus,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Tomtate                       ,"""","scientific:""",Haemulon aurolineatum,"""",delete
"common:""",White Grunt                   ,"""","scientific:""",Haemulon plumieri,"""",delete
"common:""",Scup                          ,"""","scientific:""",Stenotomus chrysops,"""",delete
"common:""",Golden Redfish                ,"""","scientific:""",Sebastes marinus,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Lane Snapper                  ,"""","scientific:""",Lutjanus synagris,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Yellow Perch                  ,"""","scientific:""",Perca flavescens,"""",delete
"common:""",Striped Bass                  ,"""","scientific:""",Morone saxatilis,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Rock Seabass                  ,"""","scientific:""",Centropristis philadelphicus,"""",delete
"common:""",Almaco Jack                   ,"""","scientific:""",Seriola rivoliana,"""",delete
"common:""",Bluefish                      ,"""","scientific:""",Pomatomus saltatrix,"""",delete
"common:""",Banded Rudderfish             ,"""","scientific:""",Seriola zonata,"""",delete
"common:""",Bank Seabass                  ,"""","scientific:""",Centropristis ocyurus,"""",delete
"common:""",Bank Seabass                ,"""","scientific:""",Centropristis ocyurus,"""",delete
"common:""",Striped Bass                  ,"""","scientific:""",Morone saxatilis,"""",delete
"common:""",Red Porgy                     ,"""","scientific:""",Pagrus pagrus,"""",delete
"common:""",Golden Redfish                ,"""","scientific:""",Sebastes marinus,"""",delete
"common:""",Permit,"""","scientific:""",Trachinotus falcatus,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",Tomtate                       ,"""","scientific:""",Haemulon aurolineatum,"""",delete
"common:""",White Grunt                   ,"""","scientific:""",Haemulon plumieri,"""",delete
"common:""",Tomtate                       ,"""","scientific:""",Haemulon aurolineatum,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Blue Runner                   ,"""","scientific:""",Caranx crysos,"""",delete
"common:""",Gafftopsail Catfish           ,"""","scientific:""",Bagre marinus,"""",delete
"common:""",Atlantic Sailfish             ,"""","scientific:""",Istiophorus platypterus,"""",delete
"common:""",Pigfish                       ,"""","scientific:""",Orthopristis chrysoptera,"""",delete
"common:""",Spotted Seatrout              ,"""","scientific:""",Cynoscion nebulosus,"""",delete
"common:""",Pinfish                       ,"""","scientific:""",Lagodon rhomboides,"""",delete
"common:""",Snook                         ,"""","scientific:""",Centropomus undecimalis,"""",delete
"common:""",Windowpane                    ,"""","scientific:""",Scophthalmus aquosus,"""",delete
"common:""",American Sand Lance           ,"""","scientific:""",Ammodytes hexapterus,"""",delete
"common:""",Windowpane                    ,"""","scientific:""",Scophthalmus aquosus,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",Silver Perch                  ,"""","scientific:""",Bairdiella chrysura,"""",delete
"common:""",Dusky Shark                  ,"""","scientific:""",Carcharhinus obscurus,"""",delete
"common:""",Spiny Dogfish                 ,"""","scientific:""",Squalis acanthias,"""",delete
"common:""",Silver Seatrout               ,"""","scientific:""",Cynoscion nothus,"""",delete
"common:""",Red Drum,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Red Drum                      ,"""","scientific:""",Sciaenops ocellata,"""",delete
